<>	1	2	3	4	5	6	7	8	9	10	11	12
A	0	26.4231743291973	16.8010073184214	27.3299718518212	30.9067982733121	31.3350095699604	24.0806031148829	22.3677579282898	20.7556663537923	28.8664991556072	25.0881617564842	26.2216595981243
B	19.3954644396952	24.6851360477792	26.2468489395085	34.886650403508	30.503776318048	7.80856633536671	22.8211585663222	17.4559189340859	15.214105085308	19.2191428034472	7.22921899041375	23.5264488647549
C	21.5113353349933	25.2392940513481	29.6221643833673	50	21.3098243573612	18.3627202101506	19.8488650777276	21.2846350159771	0.604534809616661	24.7103253891633	6.24685344363745	16.2216637269093
D	17.1284612495332	14.4836254454912	21.9143572902574	43.0478543812094	17.2544079564538	20.2267014450484	12.1662473260018	18.1612092325186	20.9823666728085	18.3879095515348	13.879092512595	23.5012595233708
E	20.9823666728085	17.3803509099335	19.7481114656319	14.256925126475	22.8967228370337	16.4735496338687	14.080603490227	17.7329979358703	32.8967224616897	19.6473541000955	20.4282124226805	20.5289660347762
F	12.1662473260018	22.8463479077063	17.8337515479659	22.216625633426	0.680100957048588	18.0856412083662	11.3602034154735	15.8186380182043	32.7455901668258	18.5894205291668	21.0327453555768	22.3929472696739
G	12.8715376244345	17.2292186150697	19.168764120679	24.3828714580515	23.904281478635	22.2670005627534	24.3073034338992	26.1460953274128	17.6826192531021	23.0478588853384	20.9067986486562	26.5743066240611
H	11.0327457309209	17.0528969788217	19.2443321448313	23.3249378871229	23.727959842387	26.3476063050449	27.7078082191421	20.7556663537923	17.7329979358703	28.4886627882863	24.5340037529153	29.370274722967
